Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Number of Words Per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length,File Name
1,0,0.1,0.3,49,32.65306122,32.66122449,49,16,49,2.571428571,0,13.18367347,bctech2129.txt
1,0,0.1,0.3,49,32.65306122,32.66122449,49,16,49,2.571428571,0,13.18367347,bctech2129 (1).txt
5,5,0.03176020408,0.2617346939,20.41666667,15.10204082,14.20748299,20.41666667,37,245,1.66122449,5,5.481632653,bctech2086.txt
13,4,0.1461538462,0.5703671329,22.13333333,18.37349398,16.20273092,22.13333333,61,332,1.759036145,1,5.936746988,bctech2034.txt
4,0,0.1333333333,0.3854166667,20.85714286,11.64383562,13.00039139,20.85714286,34,292,1.520547945,6,4.98630137,bctech2135.txt
11,8,0.08098958333,0.3932291667,29.06666667,8.486238532,15.02116208,29.06666667,37,436,1.417431193,9,4.880733945,bctech2049.txt
6,1,0.1441666667,0.5066666667,22.77777778,10.73170732,13.40379404,22.77777778,22,205,1.56097561,1,5.107317073,bctech2138.txt
2,1,0.1,0.475,83,7.228915663,36.09156627,83,6,83,1.421686747,1,4.78313253,bctech2084.txt
6,3,0.09910714286,0.605952381,22.15384615,12.15277778,13.72264957,22.15384615,35,288,1.520833333,7,5.4375,bctech2142.txt
13,3,0.08508658009,0.397987013,19.25806452,13.73534338,13.19736316,19.25806452,82,597,1.634840871,19,5.529313233,bctech2025.txt
9,3,0.08433766234,0.3260952381,21,12.79761905,13.51904762,21,43,336,1.580357143,1,5.351190476,bctech2083.txt
5,2,0.08161764706,0.3791666667,23.44444444,14.69194313,15.25455503,23.44444444,31,211,1.6492891,3,5.331753555,bctech2108.txt
9,2,0.131875,0.4628571429,26,11.53846154,15.01538462,26,33,286,1.541958042,6,5.5,bctech2080.txt
2,3,-0.03272727273,0.3109090909,27.33333333,25.6097561,21.17723577,27.33333333,21,82,2.012195122,1,6.756097561,bctech2013.txt
0,3,-0.16,0.2733333333,34,19.11764706,21.24705882,34,13,68,1.75,0,5.955882353,bctech2132.txt
2,1,0.003305785124,0.1504132231,21.25,3.529411765,9.911764706,21.25,9,255,1.325490196,11,4.721568627,bctech2089.txt
2,1,0.1857142857,0.3571428571,19.16666667,13.91304348,13.23188406,19.16666667,16,115,1.643478261,1,5.773913043,bctech2063.txt
8,4,0.1313609467,0.4116370809,21.69230769,10.9929078,13.0740862,21.69230769,31,282,1.574468085,0,5.368794326,bctech2094.txt
0,1,-0.02857142857,0.2285714286,21.5,11.62790698,13.25116279,21.5,15,129,1.519379845,0,5.364341085,bctech2146.txt
3,1,0.1107142857,0.3666666667,25.09090909,12.31884058,14.96389987,25.09090909,34,276,1.688405797,9,6.224637681,bctech2053.txt
2,3,-0.03272727273,0.3109090909,27,19.75308642,18.70123457,27,16,81,1.938271605,1,6.765432099,bctech2012.txt
18,10,0.06491755793,0.3969474153,36.55,26.40218878,25.18087551,36.55,193,731,1.913816689,2,6.194254446,bctech2011.txt
0,1,-0.03333333333,0.1,20.33333333,11.47540984,12.72349727,20.33333333,14,122,1.524590164,0,5.508196721,bctech2145.txt
7,4,0.05337662338,0.5400649351,16.91304348,22.87917738,15.91688834,16.91304348,89,389,1.922879177,2,6.511568123,bctech2033.txt
6,2,0.1719155844,0.4975108225,19,11.63434903,12.25373961,19,42,361,1.526315789,14,5.409972299,bctech2079.txt
10,5,0.05010683761,0.484508547,20.16666667,14.60055096,13.90688705,20.16666667,53,363,1.581267218,12,5.272727273,bctech2139.txt
13,7,0.09225248436,0.3883618574,20.28125,18.798151,15.6317604,20.28125,122,649,1.702619414,10,6.149460709,bctech2031.txt
2,1,0.1625,0.259375,57,14.9122807,28.76491228,57,17,114,1.666666667,1,6.096491228,bctech2058.txt
7,3,0.1369047619,0.5166666667,18.68421053,12.95774648,12.6567828,18.68421053,46,355,1.625352113,12,5.653521127,bctech2076.txt
3,1,0.3166666667,0.3166666667,20.8,16.34615385,14.85846154,20.8,17,104,1.653846154,2,5.894230769,bctech2073.txt
5,6,0.02722222222,0.4664814815,18.54545455,9.31372549,11.14367201,18.54545455,19,204,1.421568627,2,4.691176471,bctech2150.txt
12,4,0.07020833333,0.5079166667,15.42105263,8.532423208,9.581390336,15.42105263,25,293,1.409556314,8,4.791808874,bctech2119.txt
0,1,-0.2,0.4,22,18.18181818,16.07272727,22,4,22,1.818181818,0,6.272727273,bctech2114.txt
5,2,0.08702380952,0.2830952381,42.57142857,11.74496644,21.72655801,42.57142857,35,298,1.523489933,0,5.355704698,bctech2090.txt
25,13,0.09378463203,0.3864765512,17.23684211,15.41984733,13.06267577,17.23684211,101,655,1.586259542,1,5.357251908,bctech2036.txt
4,1,0.1583333333,0.3722222222,18.9,10.58201058,11.79280423,18.9,20,189,1.507936508,0,5.322751323,bctech2097.txt
10,19,-0.01250398724,0.4336629452,33.88,12.27863046,18.46345218,33.88,104,847,1.442739079,10,4.900826446,bctech2037.txt
26,9,0.08036778499,0.4402328644,18.41666667,12.66968326,12.43453997,18.41666667,112,884,1.542986425,6,5.242081448,bctech2151.txt
2,2,-0.1,0.3333333333,13.83333333,15.6626506,11.79839357,13.83333333,13,83,1.698795181,0,6.012048193,bctech2130.txt
1,2,0.1166666667,0.5833333333,10.66666667,15.625,10.51666667,10.66666667,10,64,1.71875,0,5.953125,bctech2134.txt
7,1,0.1625,0.4328125,18.1,13.25966851,12.5438674,18.1,48,362,1.527624309,8,5.187845304,bctech2064.txt
14,5,0.1309638254,0.2948392795,17.95454545,13.41772152,12.54890679,17.95454545,53,395,1.524050633,9,5.22278481,bctech2068.txt
9,2,0.1353174603,0.4035218254,30,9.583333333,15.83333333,30,46,480,1.427083333,8,5.027083333,bctech2121.txt
5,3,0.05151515152,0.3798368298,20.33333333,8.524590164,11.5431694,20.33333333,26,305,1.370491803,8,4.731147541,bctech2111.txt
7,2,0.3236363636,0.4804545455,29.42857143,15.53398058,17.9850208,29.42857143,32,206,1.606796117,3,5.373786408,bctech2066.txt
2,1,0.01454545455,0.4,31,7.258064516,15.30322581,31,9,124,1.419354839,1,5.112903226,bctech2126.txt
2,3,-0.03272727273,0.3109090909,29.33333333,23.86363636,21.27878788,29.33333333,21,88,1.988636364,1,6.988636364,bctech2020.txt
11,4,0.0383030303,0.3489545455,26.90909091,9.121621622,14.41228501,26.90909091,27,296,1.408783784,1,4.736486486,bctech2107.txt
9,1,0.1601041667,0.2945238095,29.3,11.60409556,16.36163823,29.3,34,293,1.494880546,2,5.180887372,bctech2050.txt
13,5,0.2258452381,0.6042261905,16.38461538,10.79812207,10.87309498,16.38461538,46,426,1.406103286,6,4.769953052,bctech2055.txt
10,5,0.07785087719,0.351754386,21.09090909,8.620689655,11.8846395,21.09090909,20,232,1.431034483,11,4.797413793,bctech2155.txt
15,11,0.05193602694,0.40753367,17.64705882,18,14.25882353,17.64705882,108,600,1.796666667,1,6.318333333,bctech2022.txt
1,1,0.2,0.375,37.33333333,16.96428571,21.71904762,37.33333333,19,112,1.8125,2,5.910714286,bctech2087.txt
9,1,0.3272727273,0.4363636364,19.66666667,8.13559322,11.12090395,19.66666667,24,295,1.369491525,5,4.620338983,bctech2116.txt
2,1,0.1166666667,0.3888888889,21.16666667,11.02362205,12.87611549,21.16666667,14,127,1.661417323,0,5.228346457,bctech2118.txt
5,3,0.006060606061,0.3090909091,27,20.98765432,19.19506173,27,17,81,1.925925926,1,6.679012346,bctech2017.txt
13,4,0.1187005523,0.4974473802,23.64705882,16.41791045,16.02598771,23.64705882,66,402,1.723880597,5,5.945273632,bctech2023.txt
9,3,0.143015873,0.3526984127,23.57142857,8.484848485,12.82251082,23.57142857,14,165,1.478787879,2,5.206060606,bctech2106.txt
5,4,0.1353174603,0.4681216931,14.14285714,11.11111111,10.1015873,14.14285714,22,198,1.550505051,8,5.257575758,bctech2110.txt
0,3,-0.05432098765,0.3543209877,22.4,13.39285714,14.31714286,22.4,15,112,1.598214286,2,5.276785714,bctech2112.txt
2,3,-0.03272727273,0.3109090909,27.33333333,24.3902439,20.68943089,27.33333333,20,82,2,1,6.865853659,bctech2015.txt
8,1,0.1031457431,0.2817943168,16.68181818,16.62125341,13.32122864,16.68181818,61,367,1.558583106,4,5.302452316,bctech2056.txt
6,2,0.15,0.4068181818,48,15.10416667,25.24166667,48,29,192,1.625,1,5.322916667,bctech2092.txt
11,1,0.2047619048,0.4585434174,18.88235294,7.165109034,10.41898479,18.88235294,23,321,1.476635514,8,5.127725857,bctech2075.txt
0,1,-0.1,0.7,21.66666667,16.92307692,15.43589744,21.66666667,11,65,1.676923077,0,5.615384615,bctech2104.txt
1,3,-0.07142857143,0.2857142857,26.75,10.28037383,14.81214953,26.75,11,107,1.514018692,0,4.981308411,bctech2148.txt
0,1,-0.06666666667,0.1666666667,49,9.183673469,23.27346939,49,9,98,1.43877551,2,4.744897959,bctech2096.txt
3,2,0.02962962963,0.3407407407,35,7.142857143,16.85714286,35,10,140,1.4,0,5.128571429,bctech2144.txt
19,12,0.0816167506,0.4576292075,25.32352941,13.47270616,15.51849423,25.32352941,116,861,1.566782811,3,5.176538908,bctech2153.txt
2,3,-0.03272727273,0.3109090909,30.33333333,20.87912088,20.48498168,30.33333333,19,91,1.978021978,1,6.868131868,bctech2019.txt
14,3,0.1823776455,0.4573015873,22.42857143,9.554140127,12.79308462,22.42857143,30,314,1.420382166,10,4.812101911,bctech2062.txt
5,2,0.09245454545,0.2278484848,17.08,17.79859485,13.95143794,17.08,76,427,1.819672131,6,6.555035129,bctech2044.txt
1,1,0.1333333333,0.1666666667,17.22222222,14.19354839,12.56630824,17.22222222,22,155,1.677419355,3,5.864516129,bctech2046.txt
24,6,0.1928245873,0.5420238975,23.66666667,17.42957746,16.43849765,23.66666667,99,568,1.702464789,16,5.751760563,bctech2029.txt
5,1,0.1294642857,0.3964285714,43.6,18.80733945,24.96293578,43.6,41,218,1.678899083,1,5.78440367,bctech2047.txt
10,11,-0.001185588605,0.5531545873,22.0952381,21.55172414,17.45878489,22.0952381,100,464,1.717672414,5,5.355603448,bctech2152.txt
2,3,-0.03272727273,0.3109090909,27,20.98765432,19.19506173,27,17,81,1.975308642,1,6.827160494,bctech2018.txt
1,1,0.2,0.2,35.5,15.49295775,20.3971831,35.5,11,71,1.591549296,1,5.647887324,bctech2041.txt
0,1,-0.06666666667,0.3,25.66666667,12.98701299,15.46147186,25.66666667,10,77,1.623376623,0,5.61038961,bctech2091.txt
17,2,0.1604224059,0.4342056933,20.61764706,19.11554922,15.89327851,20.61764706,134,701,1.713266762,6,5.751783167,bctech2081.txt
3,1,0.09285714286,0.2164835165,20.08333333,14.10788382,13.67648686,20.08333333,34,241,1.539419087,5,4.991701245,bctech2039.txt
5,2,0.09992424242,0.3803030303,27.11111111,11.8852459,15.59854281,27.11111111,29,244,1.536885246,1,5.409836066,bctech2057.txt
7,4,0.1554895105,0.5091958042,29.25,16.23931624,18.1957265,29.25,38,234,1.722222222,2,5.884615385,bctech2024.txt
1,1,0.007142857143,0.4142857143,19.28571429,11.85185185,12.45502646,19.28571429,16,135,1.511111111,0,5.22962963,bctech2147.txt
8,3,0.1129329004,0.4196969697,19.53846154,12.20472441,12.69727438,19.53846154,31,254,1.543307087,2,5.468503937,bctech2098.txt
2,4,-0.07916666667,0.5041666667,17.06666667,12.890625,11.98291667,17.06666667,33,256,1.54296875,0,5.203125,bctech2117.txt
2,5,0.01607142857,0.4017857143,17.6,14.20454545,12.72181818,17.6,25,176,1.568181818,1,5.454545455,bctech2069.txt
2,1,0.1857142857,0.468877551,35.83333333,11.1627907,18.79844961,35.83333333,24,215,1.460465116,2,5.046511628,bctech2048.txt
16,5,0.1496124031,0.4120155039,19.73333333,9.966216216,11.87981982,19.73333333,59,592,1.445945946,3,5.015202703,bctech2115.txt
3,3,0.053125,0.240224359,20.64285714,6.228373702,10.74849234,20.64285714,18,289,1.359861592,3,4.685121107,bctech2105.txt
18,7,0.116075388,0.5037253397,20.80645161,15.81395349,14.64816204,20.80645161,102,645,1.708527132,1,5.846511628,bctech2028.txt
12,5,0.2090430403,0.4441493691,24.16666667,5.517241379,11.87356322,24.16666667,16,290,1.310344828,8,4.596551724,bctech2122.txt
9,1,0.124512987,0.5483766234,21.71428571,11.18421053,13.1593985,21.71428571,17,152,1.598684211,4,5.986842105,bctech2136.txt
12,1,0.1247933884,0.3951446281,16.34782609,8.510638298,9.943385754,16.34782609,32,376,1.364361702,16,4.622340426,bctech2054.txt
29,7,0.1880006262,0.4860212639,22.95454545,18.01980198,16.38973897,22.95454545,91,505,1.734653465,8,5.897029703,bctech2026.txt
0,0,0,0,16,37.5,21.4,16,6,16,2.375,0,9.1875,bctech2156.txt
5,3,0.1515625,0.3296875,74.66666667,9.375,33.61666667,74.66666667,21,224,1.441964286,1,5.017857143,bctech2043.txt
2,0,0.05,0.403125,21.58333333,12.35521236,13.57541828,21.58333333,32,259,1.586872587,6,5.154440154,bctech2140.txt
1,2,0.1055555556,0.3111111111,54.33333333,8.588957055,25.16891616,54.33333333,14,163,1.45398773,4,5.122699387,bctech2042.txt
3,2,0.08512396694,0.3776859504,20.42857143,14.68531469,14.04555445,20.42857143,21,143,1.601398601,3,5.328671329,bctech2072.txt
5,3,0.04478114478,0.3653198653,26.77777778,14.52282158,16.52023974,26.77777778,35,241,1.601659751,4,5.265560166,bctech2032.txt
10,2,0.1656084656,0.4284798535,32.5,11.38461538,17.55384615,32.5,37,325,1.421538462,5,4.852307692,bctech2120.txt
7,1,0.114354067,0.3715311005,17.26666667,13.12741313,12.15763192,17.26666667,34,259,1.563706564,3,5.401544402,bctech2128.txt
4,3,0.0670995671,0.3458874459,27.66666667,22.89156627,20.22329317,27.66666667,19,83,1.963855422,1,6.698795181,bctech2014.txt
1,7,0.01648351648,0.3217032967,15.90909091,17.71428571,13.44935065,15.90909091,31,175,1.68,4,5.645714286,bctech2074.txt
9,5,0.06609432234,0.6990155678,29.42857143,12.37864078,16.72288488,29.42857143,51,412,1.519417476,3,4.949029126,bctech2137.txt
2,1,0.1848214286,0.2897321429,25.375,17.24137931,17.04655172,25.375,35,203,1.640394089,1,5.866995074,bctech2061.txt
19,3,0.2841874342,0.4672044922,41.5,10.24096386,20.69638554,41.5,34,332,1.427710843,4,4.906626506,bctech2123.txt
1,2,-0.07083333333,0.2458333333,21.75,12.2605364,13.60421456,21.75,32,261,1.54789272,7,5.157088123,bctech2113.txt
1,2,0.12,0.24,29.75,14.28571429,17.61428571,29.75,17,119,1.571428571,1,5.344537815,bctech2060.txt
2,2,0.1039393939,0.3942424242,9.857142857,18.84057971,11.47908903,9.857142857,13,69,1.811594203,0,5.971014493,bctech2133.txt
0,1,-0.1,0.5,27.375,13.69863014,16.42945205,27.375,30,219,1.639269406,0,5.333333333,bctech2095.txt
23,7,0.1351078167,0.3973495058,26.32258065,12.86764706,15.67609108,26.32258065,105,816,1.50245098,3,5.028186275,bctech2102.txt
0,2,-0.08888888889,0.1722222222,25,10.66666667,14.26666667,25,8,75,1.693333333,2,5.72,bctech2124.txt
8,3,0.2041666667,0.4597222222,75,6,32.4,75,9,150,1.433333333,3,4.72,bctech2100.txt
1,1,0.001785714286,0.1785714286,19.85714286,10.07194245,11.97163412,19.85714286,14,139,1.525179856,0,5.194244604,bctech2143.txt
2,1,0.07272727273,0.4636363636,17.88888889,17.39130435,14.11207729,17.88888889,28,161,1.745341615,5,5.689440994,bctech2088.txt
6,3,0.0943452381,0.2556547619,29.92307692,13.62467866,17.41910223,29.92307692,53,389,1.539845758,3,5.228791774,bctech2065.txt
3,1,0.08181818182,0.3204545455,25.15384615,9.785932722,13.97591155,25.15384615,32,327,1.458715596,6,5.180428135,bctech2038.txt
2,1,0.1714285714,0.2,24.6,15.44715447,16.01886179,24.6,19,123,1.577235772,1,5.382113821,bctech2071.txt
3,3,0.06857142857,0.3913492063,20,8,11.2,20,8,100,1.5,0,5.43,bctech2149.txt
3,4,-0.01268939394,0.4501623377,16.5,22.42424242,15.56969697,16.5,37,165,1.806060606,0,6.242424242,bctech2125.txt
23,8,0.1102650494,0.5003054807,25.54545455,13.28588375,15.53253532,25.54545455,112,843,1.505338078,1,5.09371293,bctech2103.txt
2,1,0.03363636364,0.2385314685,17,9.090909091,10.43636364,17,17,187,1.50802139,1,5.176470588,bctech2099.txt
13,5,0.2271520147,0.4523809524,27.71428571,9.536082474,14.90014728,27.71428571,37,388,1.430412371,12,4.956185567,bctech2067.txt
12,2,0.1130131363,0.3819376026,26.30769231,19.00584795,18.1254161,26.30769231,65,342,1.684210526,4,5.464912281,bctech2109.txt
12,3,0.1848755411,0.3977994228,26,13.01775148,15.60710059,26,44,338,1.553254438,4,4.943786982,bctech2085.txt
7,9,0.009166666667,0.5058333333,19.41666667,9.227467811,11.45765379,19.41666667,43,466,1.478540773,11,4.903433476,bctech2078.txt
6,1,0.1604166667,0.4234375,22.5,15.92592593,15.37037037,22.5,43,270,1.692592593,3,5.588888889,bctech2045.txt
11,2,0.2223665224,0.5637085137,18.73913043,18.0974478,14.73463129,18.73913043,78,431,1.707656613,5,5.617169374,bctech2035.txt
11,2,0.1338235294,0.4343137255,21.64285714,9.900990099,12.6175389,21.64285714,30,303,1.465346535,1,5.204620462,bctech2141.txt
5,6,0.05833333333,0.3520833333,16.35294118,14.02877698,12.15268726,16.35294118,39,278,1.611510791,1,5.291366906,bctech2093.txt
2,3,-0.03272727273,0.3109090909,28,23.80952381,20.72380952,28,20,84,1.988095238,1,6.880952381,bctech2021.txt
28,19,0.04522770563,0.2607051948,21.53125,13.64296081,14.06968433,21.53125,188,1378,1.535558781,7,5.113207547,bctech2154.txt
5,3,0.02868589744,0.3134615385,28.63636364,13.96825397,17.04184704,28.63636364,44,315,1.577777778,2,5.53015873,bctech2127.txt
5,4,0.1293831169,0.3916666667,37.33333333,17.26190476,21.83809524,37.33333333,58,336,1.669642857,2,5.455357143,bctech2051.txt
2,2,0.22,0.32,21.8,14.67889908,14.59155963,21.8,16,109,1.706422018,2,6.229357798,bctech2059.txt
2,3,-0.03272727273,0.3109090909,26.66666667,26.25,21.16666667,26.66666667,21,80,1.975,1,6.7625,bctech2016.txt
2,1,0.24,0.26,20.4,10.78431373,12.47372549,20.4,11,102,1.529411765,2,5.303921569,bctech2070.txt
8,1,0.2077777778,0.3577777778,21.72727273,10.87866109,13.04237353,21.72727273,26,239,1.430962343,4,4.949790795,bctech2052.txt
1,6,0.03333333333,0.2,93.5,8.556149733,40.82245989,93.5,16,187,1.513368984,5,5.577540107,bctech2040.txt
19,9,0.08667424242,0.377,21.09090909,17.88793103,15.59153605,21.09090909,83,464,1.706896552,4,5.706896552,bctech2027.txt
19,6,0.1476325758,0.4116666667,19.19354839,15.79831933,13.99674709,19.19354839,94,595,1.650420168,5,5.761344538,bctech2030.txt
0,7,-0.3625,0.65,71.33333333,11.21495327,33.01931464,71.33333333,24,214,1.425233645,2,4.920560748,bctech2101.txt
1,1,-0.008333333333,0.2976190476,16.28571429,14.9122807,12.47919799,16.28571429,17,114,1.526315789,1,4.921052632,bctech2157.txt
9,3,0.1359473859,0.5878038628,21.64705882,8.152173913,11.91969309,21.64705882,30,368,1.491847826,10,5.089673913,bctech2077.txt
3,2,0.08106060606,0.3688131313,18.5,18.91891892,14.96756757,18.5,21,111,1.648648649,0,5.432432432,bctech2131.txt